v [cm$^{-1}$]    Ir. Rep.    I [$e^{2}$ amu$^{-1}$]
    -0.006712          Bu                  0.000000
    -0.004813          Bu                  0.000000
    -0.003140          Au                  0.000000
    41.784806          Bu                  0.367618
    60.485004          Bg                  0.000000
    62.108145          Ag                  0.000000
    64.801784          Au                  0.151722
    76.176298          Ag                  0.000000
    76.966786          Bu                  0.034463
    79.825972          Bg                  0.000000
    82.205628          Au                  0.018095
    88.045865          Bu                  0.173315
    98.497401          Au                  0.181738
   104.119970          Au                  0.270775
   105.266395          Bu                  0.274899
   106.489101          Ag                  0.000000
   113.842689          Bg                  0.000000
   127.196822          Bg                  0.000000
   129.954062          Au                  0.004036
   130.202473          Ag                  0.000000
   132.257198          Bg                  0.000000
   133.724146          Au                  0.102505
   135.379380          Bu                  0.878978
   135.634260          Ag                  0.000000
   141.797370          Bu                  0.643943
   144.451847          Au                  0.439964
   145.781468          Ag                  0.000000
   147.316130          Bu                  0.009663
   149.144458          Bg                  0.000000
   149.790492          Ag                  0.000000
   156.524329          Bg                  0.000000
   165.061888          Au                  0.054748
   167.000814          Ag                  0.000000
   168.425786          Bg                  0.000000
   187.801253          Ag                  0.000000
   192.754369          Bg                  0.000000
