v [cm$^{-1}$]    I(v) [$e^{2}$ amu$^{-1}$]    I_Norm(v) [AU]
   -82.600000                     0.000270          0.003991
   -82.500000                     0.000270          0.003995
   -82.400000                     0.000270          0.004000
   -82.300000                     0.000271          0.004005
   -82.200000                     0.000271          0.004009
   -82.100000                     0.000271          0.004014
   -82.000000                     0.000272          0.004019
   -81.900000                     0.000272          0.004023
   -81.800000                     0.000272          0.004028
   -81.700000                     0.000273          0.004033
   -81.600000                     0.000273          0.004037
   -81.500000                     0.000273          0.004042
   -81.400000                     0.000274          0.004047
   -81.300000                     0.000274          0.004051
   -81.200000                     0.000274          0.004056
   -81.100000                     0.000275          0.004061
   -81.000000                     0.000275          0.004065
   -80.900000                     0.000275          0.004070
   -80.800000                     0.000275          0.004075
   -80.700000                     0.000276          0.004080
   -80.600000                     0.000276          0.004084
   -80.500000                     0.000276          0.004089
   -80.400000                     0.000277          0.004094
   -80.300000                     0.000277          0.004099
   -80.200000                     0.000277          0.004103
   -80.100000                     0.000278          0.004108
   -80.000000                     0.000278          0.004113
   -79.900000                     0.000278          0.004118
   -79.800000                     0.000279          0.004123
   -79.700000                     0.000279          0.004128
   -79.600000                     0.000279          0.004132
   -79.500000                     0.000280          0.004137
   -79.400000                     0.000280          0.004142
   -79.300000                     0.000280          0.004147
   -79.200000                     0.000281          0.004152
   -79.100000                     0.000281          0.004157
   -79.000000                     0.000281          0.004162
   -78.900000                     0.000282          0.004167
   -78.800000                     0.000282          0.004172
   -78.700000                     0.000282          0.004176
   -78.600000                     0.000283          0.004181
   -78.500000                     0.000283          0.004186
   -78.400000                     0.000283          0.004191
   -78.300000                     0.000284          0.004196
   -78.200000                     0.000284          0.004201
   -78.100000                     0.000284          0.004206
   -78.000000                     0.000285          0.004211
   -77.900000                     0.000285          0.004216
   -77.800000                     0.000285          0.004221
   -77.700000                     0.000286          0.004226
   -77.600000                     0.000286          0.004231
   -77.500000                     0.000286          0.004236
   -77.400000                     0.000287          0.004241
   -77.300000                     0.000287          0.004246
   -77.200000                     0.000287          0.004251
   -77.100000                     0.000288          0.004257
   -77.000000                     0.000288          0.004262
   -76.900000                     0.000288          0.004267
   -76.800000                     0.000289          0.004272
   -76.700000                     0.000289          0.004277
   -76.600000                     0.000289          0.004282
   -76.500000                     0.000290          0.004287
   -76.400000                     0.000290          0.004292
   -76.300000                     0.000291          0.004298
   -76.200000                     0.000291          0.004303
   -76.100000                     0.000291          0.004308
   -76.000000                     0.000292          0.004313
   -75.900000                     0.000292          0.004318
   -75.800000                     0.000292          0.004323
   -75.700000                     0.000293          0.004329
   -75.600000                     0.000293          0.004334
   -75.500000                     0.000293          0.004339
   -75.400000                     0.000294          0.004344
   -75.300000                     0.000294          0.004350
   -75.200000                     0.000294          0.004355
   -75.100000                     0.000295          0.004360
   -75.000000                     0.000295          0.004365
   -74.900000                     0.000295          0.004371
   -74.800000                     0.000296          0.004376
   -74.700000                     0.000296          0.004381
   -74.600000                     0.000297          0.004387
   -74.500000                     0.000297          0.004392
   -74.400000                     0.000297          0.004397
   -74.300000                     0.000298          0.004403
   -74.200000                     0.000298          0.004408
   -74.100000                     0.000298          0.004414
   -74.000000                     0.000299          0.004419
   -73.900000                     0.000299          0.004424
   -73.800000                     0.000299          0.004430
   -73.700000                     0.000300          0.004435
   -73.600000                     0.000300          0.004441
   -73.500000                     0.000301          0.004446
   -73.400000                     0.000301          0.004452
   -73.300000                     0.000301          0.004457
   -73.200000                     0.000302          0.004462
   -73.100000                     0.000302          0.004468
   -73.000000                     0.000302          0.004473
   -72.900000                     0.000303          0.004479
   -72.800000                     0.000303          0.004484
   -72.700000                     0.000304          0.004490
   -72.600000                     0.000304          0.004496
   -72.500000                     0.000304          0.004501
   -72.400000                     0.000305          0.004507
   -72.300000                     0.000305          0.004512
   -72.200000                     0.000305          0.004518
   -72.100000                     0.000306          0.004523
   -72.000000                     0.000306          0.004529
   -71.900000                     0.000307          0.004535
   -71.800000                     0.000307          0.004540
   -71.700000                     0.000307          0.004546
   -71.600000                     0.000308          0.004552
   -71.500000                     0.000308          0.004557
   -71.400000                     0.000308          0.004563
   -71.300000                     0.000309          0.004569
   -71.200000                     0.000309          0.004574
   -71.100000                     0.000310          0.004580
   -71.000000                     0.000310          0.004586
   -70.900000                     0.000310          0.004591
   -70.800000                     0.000311          0.004597
   -70.700000                     0.000311          0.004603
   -70.600000                     0.000312          0.004609
   -70.500000                     0.000312          0.004614
   -70.400000                     0.000312          0.004620
   -70.300000                     0.000313          0.004626
