v [cm$^{-1}$]    Ir. Rep.    I [$\AA^{4}$ amu$^{-1}$]
    41.784806          Bu                    0.000013
    60.485004          Bg                 1326.386249
    62.108145          Ag                   20.124806
    64.801784          Au                    0.000320
    76.176298          Ag                 8420.759999
    76.966786          Bu                    0.000091
    79.825972          Bg                 8858.490105
    82.205628          Au                    0.000074
    88.045865          Bu                    0.000012
    98.497401          Au                    0.000158
   104.119970          Au                    0.000007
   105.266395          Bu                    0.000016
   106.489101          Ag                   28.451647
   113.842689          Bg                   88.883406
   127.196822          Bg                 4956.405526
   129.954062          Au                    0.000192
   130.202473          Ag                36219.445985
   132.257198          Bg                16410.574884
   133.724146          Au                    0.000001
   135.379380          Bu                    0.000019
   135.634260          Ag                  144.525459
   141.797370          Bu                    0.000016
   144.451847          Au                    0.000183
   145.781468          Ag                 3515.769433
   147.316130          Bu                    0.000020
   149.144458          Bg                17195.296910
   149.790492          Ag                66613.578050
   156.524329          Bg                 4264.752228
   165.061888          Au                    0.000040
   167.000814          Ag                 1370.303846
   168.425786          Bg                21267.268796
   187.801253          Ag               134044.467077
   192.754369          Bg                60534.382338
