v [cm$^{-1}$]    I(v) [$\AA^{4}$ amu$^{-1}$]    I_Norm(v) [AU]
   -40.800000                      26.310469          0.003595
   -40.700000                      26.339131          0.003599
   -40.600000                      26.367842          0.003602
   -40.500000                      26.396603          0.003606
   -40.400000                      26.425414          0.003610
   -40.300000                      26.454274          0.003614
   -40.200000                      26.483186          0.003618
   -40.100000                      26.512147          0.003622
   -40.000000                      26.541159          0.003626
   -39.900000                      26.570221          0.003630
   -39.800000                      26.599334          0.003634
   -39.700000                      26.628498          0.003638
   -39.600000                      26.657713          0.003642
   -39.500000                      26.686979          0.003646
   -39.400000                      26.716296          0.003650
   -39.300000                      26.745664          0.003654
   -39.200000                      26.775084          0.003658
   -39.100000                      26.804555          0.003662
   -39.000000                      26.834078          0.003666
   -38.900000                      26.863653          0.003670
   -38.800000                      26.893280          0.003674
   -38.700000                      26.922959          0.003678
   -38.600000                      26.952690          0.003682
   -38.500000                      26.982474          0.003686
   -38.400000                      27.012310          0.003691
   -38.300000                      27.042198          0.003695
   -38.200000                      27.072140          0.003699
   -38.100000                      27.102134          0.003703
   -38.000000                      27.132181          0.003707
   -37.900000                      27.162282          0.003711
   -37.800000                      27.192435          0.003715
   -37.700000                      27.222643          0.003719
   -37.600000                      27.252903          0.003723
   -37.500000                      27.283218          0.003728
   -37.400000                      27.313586          0.003732
   -37.300000                      27.344008          0.003736
   -37.200000                      27.374484          0.003740
   -37.100000                      27.405015          0.003744
   -37.000000                      27.435600          0.003748
   -36.900000                      27.466239          0.003753
   -36.800000                      27.496933          0.003757
   -36.700000                      27.527682          0.003761
   -36.600000                      27.558486          0.003765
   -36.500000                      27.589345          0.003769
   -36.400000                      27.620259          0.003774
   -36.300000                      27.651228          0.003778
   -36.200000                      27.682253          0.003782
   -36.100000                      27.713334          0.003786
   -36.000000                      27.744470          0.003791
   -35.900000                      27.775662          0.003795
   -35.800000                      27.806911          0.003799
   -35.700000                      27.838215          0.003803
   -35.600000                      27.869576          0.003808
   -35.500000                      27.900994          0.003812
   -35.400000                      27.932468          0.003816
   -35.300000                      27.963999          0.003821
   -35.200000                      27.995587          0.003825
   -35.100000                      28.027232          0.003829
   -35.000000                      28.058934          0.003834
   -34.900000                      28.090694          0.003838
   -34.800000                      28.122511          0.003842
   -34.700000                      28.154386          0.003847
   -34.600000                      28.186319          0.003851
   -34.500000                      28.218309          0.003855
   -34.400000                      28.250358          0.003860
   -34.300000                      28.282465          0.003864
   -34.200000                      28.314631          0.003868
   -34.100000                      28.346855          0.003873
   -34.000000                      28.379138          0.003877
   -33.900000                      28.411480          0.003882
   -33.800000                      28.443881          0.003886
   -33.700000                      28.476341          0.003891
   -33.600000                      28.508861          0.003895
   -33.500000                      28.541440          0.003899
   -33.400000                      28.574079          0.003904
   -33.300000                      28.606778          0.003908
   -33.200000                      28.639536          0.003913
   -33.100000                      28.672355          0.003917
   -33.000000                      28.705234          0.003922
   -32.900000                      28.738174          0.003926
   -32.800000                      28.771174          0.003931
   -32.700000                      28.804235          0.003935
   -32.600000                      28.837358          0.003940
   -32.500000                      28.870541          0.003944
   -32.400000                      28.903785          0.003949
   -32.300000                      28.937091          0.003953
   -32.200000                      28.970459          0.003958
   -32.100000                      29.003888          0.003963
   -32.000000                      29.037380          0.003967
   -31.900000                      29.070933          0.003972
   -31.800000                      29.104549          0.003976
   -31.700000                      29.138227          0.003981
   -31.600000                      29.171968          0.003986
   -31.500000                      29.205771          0.003990
   -31.400000                      29.239638          0.003995
   -31.300000                      29.273567          0.003999
   -31.200000                      29.307560          0.004004
   -31.100000                      29.341617          0.004009
   -31.000000                      29.375737          0.004013
   -30.900000                      29.409921          0.004018
   -30.800000                      29.444168          0.004023
   -30.700000                      29.478480          0.004027
   -30.600000                      29.512857          0.004032
   -30.500000                      29.547297          0.004037
   -30.400000                      29.581803          0.004042
   -30.300000                      29.616373          0.004046
   -30.200000                      29.651008          0.004051
   -30.100000                      29.685709          0.004056
   -30.000000                      29.720475          0.004061
   -29.900000                      29.755306          0.004065
   -29.800000                      29.790203          0.004070
   -29.700000                      29.825166          0.004075
   -29.600000                      29.860196          0.004080
   -29.500000                      29.895291          0.004084
   -29.400000                      29.930453          0.004089
   -29.300000                      29.965682          0.004094
   -29.200000                      30.000977          0.004099
   -29.100000                      30.036339          0.004104
   -29.000000                      30.071769          0.004109
   -28.900000                      30.107266          0.004113
   -28.800000                      30.142830          0.004118
   -28.700000                      30.178463          0.004123
   -28.600000                      30.214163          0.004128
   -28.500000                      30.249931          0.004133
   -28.400000                      30.285768          0.004138
   -28.300000                      30.321673          0.004143
   -28.200000                      30.357647          0.004148
   -28.100000                      30.393689          0.004152
   -28.000000                      30.429801          0.004157
   -27.900000                      30.465982          0.004162
   -27.800000                      30.502232          0.004167
   -27.700000                      30.538553          0.004172
   -27.600000                      30.574942          0.004177
   -27.500000                      30.611402          0.004182
   -27.400000                      30.647933          0.004187
   -27.300000                      30.684533          0.004192
   -27.200000                      30.721204          0.004197
   -27.100000                      30.757947          0.004202
   -27.000000                      30.794760          0.004207
   -26.900000                      30.831644          0.004212
   -26.800000                      30.868600          0.004217
   -26.700000                      30.905627          0.004222
   -26.600000                      30.942726          0.004227
   -26.500000                      30.979897          0.004233
   -26.400000                      31.017141          0.004238
   -26.300000                      31.054457          0.004243
   -26.200000                      31.091845          0.004248
   -26.100000                      31.129306          0.004253
   -26.000000                      31.166841          0.004258
   -25.900000                      31.204448          0.004263
   -25.800000                      31.242130          0.004268
   -25.700000                      31.279884          0.004274
   -25.600000                      31.317713          0.004279
   -25.500000                      31.355616          0.004284
   -25.400000                      31.393593          0.004289
   -25.300000                      31.431644          0.004294
   -25.200000                      31.469771          0.004300
   -25.100000                      31.507972          0.004305
   -25.000000                      31.546248          0.004310
   -24.900000                      31.584600          0.004315
   -24.800000                      31.623027          0.004320
   -24.700000                      31.661530          0.004326
   -24.600000                      31.700110          0.004331
   -24.500000                      31.738765          0.004336
   -24.400000                      31.777497          0.004342
   -24.300000                      31.816305          0.004347
   -24.200000                      31.855191          0.004352
   -24.100000                      31.894153          0.004357
   -24.000000                      31.933193          0.004363
   -23.900000                      31.972311          0.004368
