v [cm$^{-1}$]    I [$e^{2}$ amu$^{-1}$]
   196.380636                  0.000000
   191.948806                  0.000000
   175.720441                  0.000000
   175.086448                  0.000000
   172.525922                  0.073524
   164.704813                  0.000000
   158.327288                  0.429523
   157.202758                  0.000001
   156.595551                  0.000002
   154.042503                  0.440376
   153.278212                  0.486946
   152.408683                  0.000000
   146.543540                  0.611940
   140.500986                  0.109454
   140.191296                  0.000020
   138.366910                  0.030021
   135.715267                  0.000000
   133.180095                  0.000000
   132.783180                  0.000000
   124.380112                  0.000000
   117.835227                  0.238877
   117.689938                  0.000000
   115.162904                  0.285932
   106.761598                  0.139997
    98.307881                  0.159629
    88.910655                  0.020242
    85.161647                  0.026129
    83.374745                  0.000000
    83.203557                  0.000000
    66.696547                  0.188692
    66.379269                  0.000020
    63.795226                  0.000000
    40.928023                  0.511463
    -0.033599                  0.000000
    -0.123789                  0.000000
    -0.137407                  0.000001
