v [cm$^{-1}$]    I(v) [$e^{2}$ amu$^{-1}$]    I_Norm(v) [AU]
   -82.700000                     0.000275          0.004217
   -82.600000                     0.000276          0.004222
   -82.500000                     0.000276          0.004227
   -82.400000                     0.000276          0.004232
   -82.300000                     0.000277          0.004237
   -82.200000                     0.000277          0.004242
   -82.100000                     0.000277          0.004247
   -82.000000                     0.000278          0.004252
   -81.900000                     0.000278          0.004257
   -81.800000                     0.000278          0.004262
   -81.700000                     0.000279          0.004267
   -81.600000                     0.000279          0.004272
   -81.500000                     0.000279          0.004277
   -81.400000                     0.000280          0.004282
   -81.300000                     0.000280          0.004287
   -81.200000                     0.000280          0.004292
   -81.100000                     0.000281          0.004297
   -81.000000                     0.000281          0.004302
   -80.900000                     0.000281          0.004308
   -80.800000                     0.000282          0.004313
   -80.700000                     0.000282          0.004318
   -80.600000                     0.000282          0.004323
   -80.500000                     0.000283          0.004328
   -80.400000                     0.000283          0.004333
   -80.300000                     0.000283          0.004338
   -80.200000                     0.000284          0.004344
   -80.100000                     0.000284          0.004349
   -80.000000                     0.000284          0.004354
   -79.900000                     0.000285          0.004359
   -79.800000                     0.000285          0.004365
   -79.700000                     0.000285          0.004370
   -79.600000                     0.000286          0.004375
   -79.500000                     0.000286          0.004380
   -79.400000                     0.000286          0.004386
   -79.300000                     0.000287          0.004391
   -79.200000                     0.000287          0.004396
   -79.100000                     0.000287          0.004401
   -79.000000                     0.000288          0.004407
   -78.900000                     0.000288          0.004412
   -78.800000                     0.000288          0.004417
   -78.700000                     0.000289          0.004423
   -78.600000                     0.000289          0.004428
   -78.500000                     0.000290          0.004433
   -78.400000                     0.000290          0.004439
   -78.300000                     0.000290          0.004444
   -78.200000                     0.000291          0.004450
   -78.100000                     0.000291          0.004455
   -78.000000                     0.000291          0.004460
   -77.900000                     0.000292          0.004466
   -77.800000                     0.000292          0.004471
   -77.700000                     0.000292          0.004477
   -77.600000                     0.000293          0.004482
   -77.500000                     0.000293          0.004488
   -77.400000                     0.000293          0.004493
   -77.300000                     0.000294          0.004499
   -77.200000                     0.000294          0.004504
   -77.100000                     0.000295          0.004510
   -77.000000                     0.000295          0.004515
   -76.900000                     0.000295          0.004521
   -76.800000                     0.000296          0.004526
   -76.700000                     0.000296          0.004532
   -76.600000                     0.000296          0.004538
   -76.500000                     0.000297          0.004543
   -76.400000                     0.000297          0.004549
   -76.300000                     0.000297          0.004554
   -76.200000                     0.000298          0.004560
   -76.100000                     0.000298          0.004566
   -76.000000                     0.000299          0.004571
   -75.900000                     0.000299          0.004577
   -75.800000                     0.000299          0.004582
   -75.700000                     0.000300          0.004588
   -75.600000                     0.000300          0.004594
   -75.500000                     0.000300          0.004600
   -75.400000                     0.000301          0.004605
   -75.300000                     0.000301          0.004611
   -75.200000                     0.000301          0.004617
   -75.100000                     0.000302          0.004622
   -75.000000                     0.000302          0.004628
   -74.900000                     0.000303          0.004634
   -74.800000                     0.000303          0.004640
   -74.700000                     0.000303          0.004646
   -74.600000                     0.000304          0.004651
