v [cm$^{-1}$]    I [$\AA^{4}$ amu$^{-1}$]
   196.380636                64933.346342
   191.948806               158167.351308
   175.720441                  677.443437
   175.086448                24209.492718
   172.525922                    0.008438
   164.704813                 1477.044999
   158.327288                    3.394797
   157.202758                27923.813746
   156.595551                49880.492531
   154.042503                    0.789613
   153.278212                    0.164024
   152.408683               134356.816351
   146.543540                    0.003046
   140.500986                    2.472096
   140.191296                 9588.842381
   138.366910                    0.038739
   135.715267                44068.672897
   133.180095                76955.775232
   132.783180                20587.322523
   124.380112                  709.609223
   117.835227                    0.029577
   117.689938                  354.815770
   115.162904                    0.011184
   106.761598                    0.002510
    98.307881                    0.000340
    88.910655                    0.004284
    85.161647                    0.108582
    83.374745                26195.534771
    83.203557                23077.941364
    66.696547                    0.015786
    66.379269                   82.955407
    63.795226                 3487.199051
    40.928023                    0.000486
