v [cm$^{-1}$]    I(v) [$\AA^{4}$ amu$^{-1}$]    I_Norm(v) [AU]
   -41.600000                      48.641072          0.005321
   -41.500000                      48.695771          0.005327
   -41.400000                      48.750568          0.005333
   -41.300000                      48.805461          0.005339
   -41.200000                      48.860453          0.005345
   -41.100000                      48.915542          0.005351
   -41.000000                      48.970730          0.005357
   -40.900000                      49.026016          0.005363
   -40.800000                      49.081401          0.005369
   -40.700000                      49.136885          0.005375
   -40.600000                      49.192468          0.005381
   -40.500000                      49.248150          0.005387
   -40.400000                      49.303933          0.005393
   -40.300000                      49.359815          0.005400
   -40.200000                      49.415797          0.005406
   -40.100000                      49.471880          0.005412
   -40.000000                      49.528064          0.005418
   -39.900000                      49.584348          0.005424
   -39.800000                      49.640734          0.005430
   -39.700000                      49.697222          0.005436
   -39.600000                      49.753811          0.005443
   -39.500000                      49.810502          0.005449
   -39.400000                      49.867295          0.005455
   -39.300000                      49.924191          0.005461
   -39.200000                      49.981190          0.005468
   -39.100000                      50.038292          0.005474
   -39.000000                      50.095497          0.005480
   -38.900000                      50.152806          0.005486
   -38.800000                      50.210219          0.005493
   -38.700000                      50.267735          0.005499
   -38.600000                      50.325357          0.005505
   -38.500000                      50.383082          0.005512
   -38.400000                      50.440913          0.005518
   -38.300000                      50.498849          0.005524
   -38.200000                      50.556890          0.005531
   -38.100000                      50.615038          0.005537
   -38.000000                      50.673291          0.005543
   -37.900000                      50.731650          0.005550
   -37.800000                      50.790116          0.005556
   -37.700000                      50.848689          0.005562
   -37.600000                      50.907369          0.005569
   -37.500000                      50.966156          0.005575
   -37.400000                      51.025051          0.005582
   -37.300000                      51.084054          0.005588
   -37.200000                      51.143166          0.005595
   -37.100000                      51.202385          0.005601
   -37.000000                      51.261714          0.005608
   -36.900000                      51.321151          0.005614
   -36.800000                      51.380698          0.005621
   -36.700000                      51.440355          0.005627
   -36.600000                      51.500121          0.005634
   -36.500000                      51.559998          0.005640
   -36.400000                      51.619985          0.005647
   -36.300000                      51.680083          0.005653
   -36.200000                      51.740292          0.005660
   -36.100000                      51.800613          0.005667
   -36.000000                      51.861045          0.005673
   -35.900000                      51.921589          0.005680
   -35.800000                      51.982246          0.005686
   -35.700000                      52.043015          0.005693
   -35.600000                      52.103896          0.005700
   -35.500000                      52.164891          0.005706
   -35.400000                      52.226000          0.005713
   -35.300000                      52.287222          0.005720
   -35.200000                      52.348558          0.005727
   -35.100000                      52.410008          0.005733
   -35.000000                      52.471573          0.005740
   -34.900000                      52.533253          0.005747
   -34.800000                      52.595049          0.005753
   -34.700000                      52.656960          0.005760
   -34.600000                      52.718986          0.005767
   -34.500000                      52.781129          0.005774
   -34.400000                      52.843389          0.005781
   -34.300000                      52.905765          0.005787
   -34.200000                      52.968258          0.005794
   -34.100000                      53.030869          0.005801
   -34.000000                      53.093597          0.005808
   -33.900000                      53.156444          0.005815
   -33.800000                      53.219409          0.005822
   -33.700000                      53.282492          0.005829
   -33.600000                      53.345695          0.005836
   -33.500000                      53.409017          0.005843
   -33.400000                      53.472458          0.005849
   -33.300000                      53.536019          0.005856
   -33.200000                      53.599701          0.005863
   -33.100000                      53.663503          0.005870
   -33.000000                      53.727427          0.005877
